,l=0,l=1,l=2
5,19.300724285077607,20.848079255662817,22.229903533720023
6,22.738506707178967,24.27463927517231,25.664710501659336
7,26.123546012376053,27.657197050380134,29.060225542125586
8,29.47834380923863,31.014480001143017,32.43033076225244
9,32.81346867367794,34.3494059410576,35.770999973649076
10,36.12236509629048,37.64917448066039,39.06587744815435
11,39.38789998996339,40.89674851062431,42.301768140468816
12,42.597856598965,44.08858145896098,45.48615325940391
13,45.76133879379793,47.24539496974657,48.64794912562728
14,48.907137326687895,50.39698127148425,51.811714569324515
15,52.05739515875509,53.55418407301747,54.97647370015698
16,55.20892503062876,56.70378487329194,58.123313675751525
17,58.342382349684655,59.82598990675926,61.23624059386922
18,61.44272688597826,62.91370966893102,64.31755723580858
19,64.51347057778104,65.97960134161897,67.38599191527571
20,67.57351396349772,69.04361327617138,70.45817074968282
21,70.63847686331003,72.11442574664514,73.53550646087889
22,73.70879892135922,75.18659319359152,76.60951481337274
23,76.77582938797897,78.25162920716579,79.6741950048345
24,79.83396340976705,81.30803550501622,82.73219893195136
25,82.88621254007566,84.36202729653714,85.79122917572064
26,85.94023048904903,87.42071961653912,88.85652666795787
27,89.00093627296978,90.48639686111532,91.9280438194149
28,92.06804983066726,93.55726028467927,95.00351427860801
29,95.13929660937964,96.63152969555087,98.08215477544931
30,98.21398021675925,99.70961616022664,101.1651763711064
31,101.29333481759606,102.79302431412368,104.25386407355622
32,104.37858194257996,105.88237058546055,107.34815003530694
33,107.46958056163045,108.97694250537987,110.44703286862519
34,110.56530810607877,112.07574874835787,113.54978982207712
35,113.6650599330637,115.17847934078097,116.65647547706511
36,116.7689025823165,118.28542752887336,119.76743011822475
37,119.87716008842358,121.39677963723598,122.88260256235043
38,122.98975137534292,124.51218128308525,126.00142414026068
39,126.10608801410788,127.63093186845809,129.12320070397445
40,129.22547424982153,130.75244553399992,132.24751213028335
41,132.34749557436027,133.8764837553239,135.37426003873395
42,135.47205520626562,137.00302753472843,138.50344176732042
43,138.59913983158614,140.1320180920895,141.63492369740342
44,141.7286077155801,143.26323534682467,144.76843081592872
45,144.8601753433178,146.39637192516184,147.90366746366385
46,147.9935442722525,149.53116801398735,151.04042560936216
47,151.12850528550757,152.66746355287384,154.17858125630335
48,154.26493161461804,155.8051461578505,157.31801858543196
49,157.40270265393468,158.94407620094435,160.45857542460007
50,160.54165198191066,162.08406843523238,163.60006070593337
51,163.6815845587667,165.2249347565931,166.74230559553106
52,166.82233066883637,168.36653314476854,169.88519826444747
53,169.9637763686917,171.50877360378166,173.02866365537088
54,173.10584447569533,174.6515815886404,176.17262058571666
55,176.24845064057908,177.79485806817524,179.31695438074672
56,179.39147693380139,180.93847110513943,182.4615258156502
57,182.53478206846543,184.08227990524784,185.6062029983272
58,185.67823241279046,187.2261648089325,188.7508830777565
59,188.82172402317602,190.370037596693,191.895490538139
60,191.96517998498157,193.5138284347593,195.0399579487244
61,195.10853109219528,196.6574655890515,198.1842092277103
62,198.25169938617267,199.80086584070324,201.32815800166836
63,201.3945968477429,202.9439403636317,204.47171825175678
64,204.53713619701105,206.0866071875021,207.61481569476948
65,207.67924192532624,209.2287986150117,210.75738967830398
66,210.8208529219049,212.37045943469178,213.89938995166884
67,213.96191745965712,215.5115406154075,217.04076996425283
68,217.1023875186142,218.65199572514183,220.1814852544861
69,220.24221813274886,221.79178307645265,223.32149912343453
70,223.38137165605943,224.9308709304574,226.46078696949687
71,226.51982267171547,228.06924113336854,229.59933796042665
72,229.65755975241646,231.20688901460693,232.73715397893037
73,232.79458387892808,,
