n,l = 0,l = 1,l = 2,sigma(l = 0),sigma(l = 1),sigma(l = 2)
4,      -9.9999,      -9.9999,       2.9142,        -9.9999,        -9.9999,         0.0013
5,       2.9942,       3.2482,       3.3866,         0.0014,         0.0027,         0.0022
6,       3.4398,       3.7156,       3.8786,         0.0012,         0.0012,         0.0013
7,       3.9511,       4.2233,       4.3727,         0.0013,         0.0016,         0.0023
8,       4.4393,       4.7145,       4.8849,         0.0014,         0.0021,         0.0012
9,       4.9540,       5.2374,       5.3920,         0.0013,         0.0013,         0.0021
10,       5.4740,      -9.9999,      -9.9999,         0.0012,        -9.9999,        -9.9999
