,l=0,l=1,l=2
5,19.265523514249242,20.813928667723175,22.19747843473547
6,22.706459184005254,24.24496125340382,25.63738355883833
7,26.096428178634138,27.632006468875606,29.036340367586376
8,29.454113204781237,30.99037134920236,32.40570994863145
9,32.78800405936485,34.32231804609885,35.74216375247438
10,36.092528927095174,37.61718238852403,39.03227231458021
11,39.353501662117665,40.861185420044606,42.265978054437014
12,42.56165048613655,44.05289207938136,45.45156237947706
13,45.72653180899903,47.211690509173444,48.615055029113286
14,48.873869879607355,50.3635417503639,51.777375917480775
15,52.022374261252246,53.51703827268329,54.936764361197774
16,55.16834754836549,56.6599330803463,58.076456664222455
17,58.294720736835636,59.77556520225894,61.184068406399035
18,61.39004244511932,62.86029601824703,64.2645445576636
19,64.46025471787586,65.92755721927304,67.33546098827921
20,67.52285532928155,68.99421758633524,70.40957205381605
21,70.58960819295376,72.06551224049649,73.48606167799859
22,73.6589427007994,75.13567908236755,76.55765111592447
23,76.72356374803661,78.19861601751087,79.62106159976219
24,79.78055843028318,81.25506902482348,82.68023066670406
25,82.834083781305,84.31116101799275,85.74173594771696
26,85.89058804124402,87.37227431503653,88.80914333993631
27,88.95336345109534,90.4396417862045,91.88209994172973
28,92.02190276021955,93.51190591744457,94.95914887098265
29,95.09475388842803,96.5880999965305,98.04003211715171
30,98.17170520297553,99.66866952030672,101.12558638351791
31,101.25358779793548,102.7544780290519,104.2164426872253
32,104.3409808610992,105.84570290196018,107.31239994365797
33,107.4336390600146,108.94184152420098,110.4128812768168
34,110.53097438140476,112.04239850454776,113.51757649800078
35,113.6326808844654,115.14726307136581,116.62650690498903
36,116.73877388413185,118.25647162790791,119.7396342729202
37,119.84919506039556,121.36981520018577,122.85659115019536
38,122.96355699381446,124.4867798182998,125.97680989298856
39,126.08128364836448,127.60681586822963,129.09983117045437
40,129.20191663084648,130.72959130068656,132.2254482890638
41,132.32524979032664,133.85499317022524,135.35359521045527
42,135.4512113685088,136.98294344420086,138.48415340379663
43,138.5796729293883,140.11325169550005,141.61687673085726
44,141.71037973530568,143.24562565897338,144.75146516947663
45,144.84302726823395,146.37978034463163,147.88767336137929
46,147.97736829073895,149.51551540619658,151.0253440861314
47,151.11324329854043,152.65269985915896,154.1643589379835
48,154.2505298321735,155.79120613800924,157.30457648517182
49,157.38908158641465,158.93086957968833,160.44581932085185
50,160.5287171167426,162.07150433353263,163.58790914524968
51,163.66925554524883,165.21294624943684,166.73070458939134
52,166.81055367821247,168.35507493417285,169.87410474419994
53,169.95250847273138,171.4977984012215,173.01802099085955
54,173.09502847041153,174.6410199860924,176.1623477445598
55,176.23800498827524,177.78461993655674,179.30695735324306
56,179.3813077119022,180.92846413323244,182.45171836862016
57,182.52480326364037,184.07242686522417,185.59651699954804
58,185.6683763931314,187.21640587091596,188.74126358900068
59,188.8119359944903,190.36031954235676,191.88588249190164
60,191.9554047276452,193.5040917634223,195.03029748411396
61,195.0987045195964,196.64764212650834,198.17442530658303
62,198.24175037185182,199.7908838169205,201.31818017165784
63,201.3844550375084,202.93373234676818,204.46148273316982
64,204.52673796610637,206.0761132851282,207.60426554554917
65,207.66853061760153,209.21796444567778,210.74647232747748
66,210.8097756140426,212.35923298126917,213.88805421713386
67,213.95042298593097,215.49987199555514,217.02896765561
68,217.0904281227956,218.63984023922654,220.1691757453939
69,220.2297531848548,221.7791047676072,223.30865146320696
70,223.36837031675395,224.91764397435912,226.44738003291218
71,226.50626397769685,228.05544918757272,229.58535930183683
72,229.64343127983162,231.192523141742,232.72259898020258
73,232.77988122045085,,
