n,l = 0,l = 1,l = 2,sigma(l = 0),sigma(l = 1),sigma(l = 2)
4,     -99.9999,     -99.9999,       5.8285,     -9.9999,     -9.9999,         0.0026
5,       5.9885,       6.4964,       6.7732,         0.0028,         0.0054,         0.0044
6,       6.8795,       7.4312,       7.7572,         0.0024,         0.0024,         0.0025
7,       7.9023,       8.4466,       8.7454,         0.0026,         0.0031,         0.0047
8,       8.8787,       9.4291,       9.7697,         0.0028,         0.0043,         0.0025
9,       9.9080,      10.4749,      10.7841,         0.0027,         0.0026,         0.0042
10,      10.9480,     -99.9999,     -99.9999,         0.0024,     -9.9999,     -9.9999
